env,algorithm,scenario,states_explored,actions_taken,total_cost,time_seconds,solution_found
23,DLS-50,2,5227,49,337,0.021096402999319253,True
23,DLS-75,1,4875,75,75,0.015045250000184751,True
23,DLS-75,2,4875,75,363,0.015045250000184751,True
23,DLS-100,1,9348,99,99,0.028873639999801526,True
23,DLS-100,2,9348,99,387,0.028873639999801526,True
23,UCS,1,2529,39,39,0.009367200999804481,True
23,UCS,2,2529,39,255,0.009367200999804481,True
23,A1,1,340,39,39,0.001297142000112217,True
23,A2,2,340,39,255,0.001305124000282376,True
24,RANDOM,1,,,,3.632399966591038e-05,False
24,RANDOM,2,,,,3.632399966591038e-05,False
24,BFS,1,3105,41,41,0.008676101999299135,True
24,BFS,2,3105,41,86,0.008676101999299135,True
24,DFS,1,42,41,41,4.0068000089377165e-05,True
24,DFS,2,42,41,86,4.0068000089377165e-05,True
24,DLS-50,1,42,41,41,4.4720000005327165e-05,True
24,DLS-50,2,42,41,86,4.4720000005327165e-05,True
24,DLS-75,1,42,41,41,4.243700004735729e-05,True
24,DLS-75,2,42,41,86,4.243700004735729e-05,True
24,DLS-100,1,42,41,41,4.070100021635881e-05,True
24,DLS-100,2,42,41,86,4.070100021635881e-05,True
24,UCS,1,988,41,41,0.003658636000182014,True
24,UCS,2,988,41,86,0.003658636000182014,True
24,A1,1,139,41,41,0.0005006700002923026,True
24,A2,2,139,41,86,0.0005229120006333687,True
25,RANDOM,1,,,,0.00011449799967522267,False
25,RANDOM,2,,,,0.00011449799967522267,False
25,BFS,1,1224,27,27,0.0033144250000987086,True
25,BFS,2,1224,27,108,0.0033144250000987086,True
25,DFS,1,191,187,187,0.00037331499970605364,True
25,DFS,2,191,187,556,0.00037331499970605364,True
25,DLS-50,1,1343,49,49,0.005995483999868156,True
25,DLS-50,2,1343,49,130,0.005995483999868156,True
25,DLS-75,1,452,75,75,0.0011444270003266865,True
25,DLS-75,2,452,75,264,0.0011444270003266865,True
25,DLS-100,1,327,99,99,0.0007693990000916529,True
25,DLS-100,2,327,99,324,0.0007693990000916529,True
25,UCS,1,1324,27,27,0.005154136999408365,True
25,UCS,2,1324,27,108,0.005154136999408365,True
25,A1,1,140,27,27,0.0005416630001491285,True
25,A2,2,140,27,108,0.0005123949995322619,True
26,RANDOM,1,,,,2.2937000721867662e-05,False
26,RANDOM,2,,,,2.2937000721867662e-05,False
26,BFS,1,8814,121,121,0.025978053000471846,True
26,BFS,2,8814,121,868,0.025978053000471846,True
26,DFS,1,8174,7543,7543,0.019366714999705437,True
26,DFS,2,8174,7543,23014,0.019366714999705437,True
26,DLS-50,1,,,,0.11070673199992598,False
26,DLS-50,2,,,,0.11070673199992598,False
26,DLS-75,1,,,,0.283657640000456,False
26,DLS-75,2,,,,0.283657640000456,False
26,DLS-100,1,,,,0.550566113000059,False
26,DLS-100,2,,,,0.550566113000059,False
26,UCS,1,8619,121,121,0.03251552999972773,True
26,UCS,2,8619,121,868,0.03251552999972773,True
26,A1,1,2722,121,121,0.010575356000117608,True
26,A2,2,2722,121,868,0.010663804000614618,True
27,RANDOM,1,,,,1.3208999916969333e-05,False
27,RANDOM,2,,,,1.3208999916969333e-05,False
27,BFS,1,964,26,26,0.002564180999797827,True
27,BFS,2,964,26,116,0.002564180999797827,True
27,DFS,1,1725,1596,1596,0.0041048519997275434,True
27,DFS,2,1725,1596,4710,0.0041048519997275434,True
27,DLS-50,1,6548,50,50,0.025905057999807468,True
27,DLS-50,2,6548,50,230,0.025905057999807468,True
27,DLS-75,1,10685,74,74,0.03560641200056125,True
27,DLS-75,2,10685,74,452,0.03560641200056125,True
27,DLS-100,1,9524,100,100,0.029559491999862075,True
27,DLS-100,2,9524,100,568,0.029559491999862075,True
27,UCS,1,1175,26,26,0.004580554000312986,True
27,UCS,2,1175,26,116,0.004580554000312986,True
27,A1,1,175,26,26,0.0006987160004428006,True
27,A2,2,175,26,116,0.0007114609998097876,True
28,RANDOM,1,,,,9.651999789639376e-06,False
28,RANDOM,2,,,,9.651999789639376e-06,False
28,BFS,1,7802,136,136,0.023484461000407464,True
28,BFS,2,7802,136,676,0.023484461000407464,True
28,DFS,1,2899,2756,2756,0.006744430000253487,True
28,DFS,2,2899,2756,8246,0.006744430000253487,True
