algorithm_name,env_n,size,best_solution,H,states,time
SA,15,10,"[6, 8, 3, 9, 5, 9, 1, 4, 8, 0]",7,689,0.008308897988172248
GA,15,10,"[3, 0, 9, 0, 4, 6, 8, 5, 1, 2]",6,800,0.052762992010684684
random,16,10,"[3, 8, 6, 3, 0, 7, 1, 4, 2, 7]",2,800,0.004744619989651255
HC,16,10,"[1, 8, 6, 3, 9, 0, 8, 5, 7, 2]",1,541,0.0014473479968728498
SA,16,10,"[1, 4, 7, 0, 2, 0, 6, 1, 4, 8]",5,689,0.008182468998711556
GA,16,10,"[3, 1, 4, 6, 8, 2, 7, 0, 3, 7]",4,800,0.05274848600674886
random,17,10,"[6, 2, 9, 7, 1, 3, 6, 0, 8, 3]",4,800,0.0046317689993884414
HC,17,10,"[0, 2, 7, 5, 8, 1, 4, 0, 3, 6]",1,451,0.001284850004594773
SA,17,10,"[9, 5, 1, 8, 0, 5, 2, 7, 3, 4]",5,689,0.008405115993809886
GA,17,10,"[8, 2, 9, 5, 1, 4, 1, 7, 8, 6]",5,800,0.052661645007901825
random,18,10,"[6, 0, 7, 1, 8, 8, 2, 7, 9, 1]",3,800,0.004791005005245097
HC,18,10,"[2, 6, 9, 7, 3, 0, 7, 1, 8, 5]",2,451,0.001170232004369609
SA,18,10,"[8, 0, 4, 1, 7, 5, 7, 1, 9, 4]",6,689,0.008352935008588247
GA,18,10,"[5, 3, 5, 7, 2, 9, 4, 1, 8, 0]",4,800,0.05244769599812571
random,19,10,"[0, 3, 6, 2, 1, 4, 9, 8, 2, 5]",4,800,0.004986381987691857
HC,19,10,"[4, 9, 1, 5, 7, 8, 0, 2, 6, 3]",2,451,0.00122682900109794
SA,19,10,"[6, 8, 7, 5, 3, 0, 0, 4, 4, 9]",4,689,0.008355725003639236
GA,19,10,"[8, 2, 5, 9, 8, 0, 3, 9, 6, 6]",5,800,0.055991680012084544
random,20,10,"[0, 2, 9, 5, 5, 8, 1, 7, 4, 6]",3,800,0.004803174000699073
HC,20,10,"[6, 0, 9, 7, 5, 2, 8, 1, 4, 4]",1,361,0.0011615069961408153
SA,20,10,"[8, 8, 3, 0, 9, 6, 1, 7, 4, 1]",3,689,0.007859493998694234
